epoch,Training loss,Validation loss,Learning rate,,Training accuracy,Validation accuracy,Best validation,,
1,4.099371212,2.40674877,0.001,,73.07%,83.65%,90.93%,,
2,3.031509593,2.035682398,0.001,,76.38%,84.95%,90.93%,,
3,2.740567193,1.801938309,0.001,,77.06%,85.63%,90.93%,,
4,2.397184832,1.604751565,0.001,,78.16%,86.05%,90.93%,,
5,2.186237365,1.472559453,0.001,,78.11%,85.90%,90.93%,,
6,1.9350826,1.235205986,0.001,,79.35%,86.63%,90.93%,,
7,1.715772194,1.028044596,0.001,,79.05%,86.45%,90.93%,,
8,1.457627873,0.868134697,0.001,,78.95%,86.75%,90.93%,,
9,1.167992754,0.693236282,0.001,,79.36%,87.38%,90.93%,,
10,0.975783048,0.593777553,0.001,,80.02%,88.78%,90.93%,,
11,0.837884864,0.626873065,0.001,,81.14%,87.28%,90.93%,,
12,0.742800351,0.492333514,0.001,,81.62%,89.18%,90.93%,,
13,0.702590135,0.504765947,0.001,,82.29%,89.83%,90.93%,,
14,0.642642657,0.561229484,0.001,,83.52%,87.53%,90.93%,,
15,0.608220296,0.486388723,0.001,,83.93%,89.53%,90.93%,,
16,0.572408739,0.443580896,0.001,,85.00%,90.10%,90.93%,,
17,0.533714022,0.427777838,0.001,,85.78%,90.30%,90.93%,,
18,0.521529867,0.432913616,0.001,,86.18%,89.68%,90.93%,,
19,0.501760547,0.460212646,0.001,,87.23%,88.53%,90.93%,,
20,0.478068302,0.426238073,0.001,,87.55%,89.83%,90.93%,,
21,0.468662129,0.40797502,0.001,,88.09%,90.28%,90.93%,,
22,0.446385035,0.426226997,0.001,,88.98%,89.70%,90.93%,,
23,0.436424872,0.407179844,0.001,,89.50%,90.15%,90.93%,,
24,0.428978075,0.39163887,0.001,,89.33%,90.68%,90.93%,,
25,0.422931441,0.426674965,0.001,,89.85%,90.00%,90.93%,,
26,0.412068485,0.398234968,0.001,,90.31%,90.93%,90.93%,,
27,0.402073104,0.415273372,0.001,,90.71%,89.95%,90.93%,,
28,0.401209784,0.399027692,0.001,,90.76%,90.48%,90.93%,,
29,0.392235265,0.391002066,0.001,,91.24%,90.75%,90.93%,,
30,0.38796344,0.395373516,0.001,,91.32%,90.48%,90.93%,,
31,0.384618008,0.391007489,0.001,,91.63%,90.60%,90.93%,,
32,0.37439929,0.386883092,0.001,,92.06%,90.75%,90.93%,,
33,0.374504066,0.389595693,0.001,,92.09%,90.58%,90.93%,,
34,0.371726942,0.387547395,0.001,,92.45%,90.73%,90.93%,,
35,0.367982178,0.395167386,0.001,,92.62%,90.65%,90.93%,,
36,0.362652023,0.403806518,0.001,,92.70%,90.78%,90.93%,,
37,0.355913372,0.387896178,0.001,,93.21%,90.80%,90.93%,,
38,0.355487552,0.389239629,0.0005,,93.06%,90.55%,90.93%,,
39,0.351731634,0.400532741,0.0005,,93.60%,90.65%,90.93%,,
40,0.350437286,0.389772365,0.0005,,93.53%,90.85%,90.93%,,
41,0.350175934,0.38338834,0.0005,,93.76%,90.83%,90.93%,,
