epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.1016760944366455,0.6835,2.384248649597168,0.7855,0.001
2,3.1604621461868287,0.73435,2.0805496854782106,0.81575,0.001
3,2.7296688957214355,0.7522,1.838457387447357,0.8255,0.001
4,2.4854700713157656,0.7564,1.6095849442481995,0.8305,0.001
5,2.1761729271888735,0.7669,1.409927505016327,0.841,0.001
6,1.9525323989868164,0.764,1.246408983230591,0.847,0.001
7,1.6273837950706482,0.77,1.067537336587906,0.828,0.001
8,1.3636686032295227,0.7687,0.8127927782535553,0.8515,0.001
9,1.1102345557689666,0.7714,0.7296597855091095,0.85125,0.001
10,0.9399429096698761,0.7753,0.5887086806297303,0.85425,0.001
11,0.8025540302276611,0.78875,0.5361382594108581,0.86675,0.001
12,0.7238123804092407,0.79395,0.4865861301422119,0.8655,0.001
13,0.6721284142017364,0.7994,0.48459638476371764,0.8685,0.001
14,0.620185193490982,0.8109,0.46287163662910463,0.88025,0.001
15,0.5951587712287902,0.81415,0.45331707096099855,0.8795,0.001
16,0.5432256756305694,0.82735,0.43258977580070496,0.878,0.001
17,0.513629784822464,0.8382,0.428147954583168,0.87475,0.001
18,0.49543360180854795,0.84225,0.43884647941589355,0.87875,0.001
19,0.4770678030490875,0.85145,0.4130536584854126,0.8785,0.001
20,0.4536082104206085,0.859,0.40863271486759184,0.87925,0.001
21,0.4511534197807312,0.8583,0.4022666021585464,0.87975,0.001
22,0.43388756980896,0.86875,0.40244749987125394,0.87825,0.001
23,0.4268428964614868,0.86935,0.40423362028598786,0.8805,0.001
24,0.41191272604465484,0.87655,0.4031221910715103,0.8755,0.001
25,0.40993478491306307,0.88035,0.3963858307600021,0.8835,0.001
26,0.40226967971324923,0.8815,0.3928602821826935,0.8825,0.001
27,0.39045015935897825,0.8882,0.40266840648651125,0.8815,0.001
28,0.38821502392292023,0.8894,0.398857865691185,0.88475,0.001
29,0.3841969252109528,0.8942,0.40226222026348113,0.87725,0.001
30,0.3784218948364258,0.8939,0.4051729553937912,0.87025,0.001
31,0.3782999327659607,0.8953,0.3910156831741333,0.889,0.001
32,0.37218047606945037,0.9013,0.3954883095026016,0.88875,0.001
33,0.3664660304069519,0.90825,0.39445018184185027,0.88725,0.001
34,0.3624307772159576,0.90455,0.39509448730945584,0.88325,0.001
35,0.36034557383060456,0.9068,0.4052668081521988,0.8805,0.001
36,0.35825218167304995,0.9095,0.4008300975561142,0.87925,0.001
37,0.3541965712308884,0.91205,0.40108441042900084,0.88775,0.0005
38,0.3497925389051437,0.9134,0.395330698132515,0.886,0.0005
39,0.3460057961702347,0.91615,0.3991292449235916,0.8855,0.0005
40,0.348983704328537,0.91415,0.39422370576858523,0.888,0.0005
41,0.34320503849983214,0.91755,0.4047656329870224,0.8895,0.0005
42,0.34599306609630587,0.9192,0.3896169662475586,0.88875,0.0005
43,0.34435109674930575,0.91585,0.39565182304382324,0.88625,0.0005
44,0.34071673214435577,0.91845,0.40087697851657866,0.88225,0.0005
45,0.3393453037261963,0.9208,0.4040934934616089,0.88575,0.0005
46,0.3392936001062393,0.9185,0.3924299100637436,0.89,0.0005
47,0.33152123687267304,0.92405,0.39599847233295443,0.89,0.0005
48,0.3376077752828598,0.9221,0.39730923902988435,0.887,0.00025
49,0.33391427266597745,0.92365,0.39273390293121335,0.88975,0.00025
50,0.3329308150053024,0.9245,0.3955034455060959,0.892,0.00025
51,0.33115229794979095,0.9259,0.39862564063072203,0.88725,0.00025
52,0.3332381175994873,0.92405,0.39535953259468076,0.88975,0.00025
53,0.3329127941846848,0.9243,0.40158633863925935,0.886,0.00025
54,0.32979641168117524,0.9252,0.3958593600988388,0.88725,0.000125
55,0.3279813471078873,0.92785,0.3980164637565613,0.891,0.000125
56,0.3295621237039566,0.9247,0.4063567979335785,0.885,0.000125
57,0.3251838028907776,0.9289,0.3957077994346619,0.88875,0.000125
58,0.32755157017707826,0.92815,0.3990942200422287,0.89,0.000125
59,0.32893331418037414,0.9276,0.39498359513282777,0.8875,0.000125
60,0.3278564238071442,0.93025,0.39936989510059356,0.8875,6.25e-05
61,0.3295947476387024,0.92505,0.3953735196590424,0.889,6.25e-05
62,0.3252577466726303,0.92835,0.39560659313201907,0.8915,6.25e-05
63,0.32392222616672517,0.9297,0.39608586597442624,0.88825,6.25e-05
64,0.3260200101137161,0.9272,0.3992155361175537,0.88425,6.25e-05
65,0.3261128538370133,0.92865,0.3997200816869736,0.8895,6.25e-05
